Age,Year,Population
10,1900,52592
11,1900,51181
12,1900,52439
13,1900,53174
14,1900,52159
15,1900,50551
16,1900,50003
17,1900,47041
18,1900,45788
19,1900,44132
20,1900,43490
21,1900,44081
22,1900,41394
23,1900,41807
24,1900,39276
25,1900,38552
26,1900,36606
27,1900,35804
28,1900,34392
29,1900,34644
30,1900,32252
31,1900,31345
32,1900,28504
33,1900,31427
34,1900,34064
35,1900,33646
36,1900,34106
37,1900,33443
38,1900,32380
39,1900,30552
40,1900,32446
41,1900,32559
42,1900,31765
43,1900,29073
44,1900,27748
45,1900,27397
46,1900,29126
47,1900,26384
48,1900,24674
49,1900,25488
50,1900,25734
51,1900,26430
52,1900,24547
53,1900,22826
54,1900,21982
55,1900,23350
56,1900,24037
57,1900,22596
58,1900,22868
59,1900,21260
60,1900,21624
61,1900,19893
62,1900,18862
63,1900,19070
64,1900,19615
65,1900,19685
66,1900,19325
67,1900,18562
68,1900,16177
69,1900,14767
70,1900,15263
71,1900,15015
72,1900,13743
73,1900,11960
74,1900,12606
75,1900,12092
76,1900,10621
77,1900,10194
78,1900,8887
79,1900,7634
80,1900,6291
81,1900,5213
82,1900,4444
83,1900,3662
84,1900,3291
85,1900,2628
86,1900,1889
87,1900,1295
88,1900,1124
89,1900,893
90,1900,1749
91,1900,0
92,1900,0
93,1900,0
94,1900,0
95,1900,0
96,1900,0
97,1900,0
98,1900,0
99,1900,0
100,1900,0
101,1900,0
102,1900,0
103,1900,0
104,1900,0
105,1900,0
106,1900,0
107,1900,0
108,1900,0
109,1900,0
0,1901,63337
1,1901,59573
2,1901,56426
3,1901,56887
4,1901,55325
5,1901,55304
6,1901,55216
7,1901,53894
8,1901,53380
9,1901,52008
10,1901,53278
11,1901,52360
12,1901,50905
13,1901,52170
14,1901,52887
15,1901,51650
16,1901,49881
17,1901,49136
18,1901,46097
19,1901,44874
20,1901,43267
21,1901,42687
22,1901,43295
23,1901,40763
24,1901,41281
25,1901,38738
26,1901,38082
27,1901,36205
28,1901,35473
29,1901,34102
30,1901,34347
31,1901,32005
32,1901,31066
33,1901,28248
34,1901,31180
35,1901,33826
36,1901,33386
37,1901,33881
38,1901,33181
39,1901,32149
40,1901,30283
41,1901,32205
42,1901,32288
43,1901,31503
44,1901,28832
45,1901,27516
46,1901,27182
47,1901,28869
48,1901,26159
49,1901,24433
50,1901,25244
51,1901,25488
52,1901,26147
53,1901,24279
54,1901,22555
55,1901,21689
56,1901,23055
57,1901,23705
58,1901,22252
59,1901,22508
60,1901,20909
61,1901,21257
62,1901,19497
63,1901,18473
64,1901,18626
65,1901,19152
66,1901,19177
67,1901,18770
68,1901,17985
69,1901,15615
70,1901,14178
71,1901,14598
72,1901,14289
73,1901,13036
74,1901,11278
75,1901,11787
76,1901,11172
77,1901,9751
78,1901,9342
79,1901,8080
80,1901,6825
81,1901,5607
82,1901,4572
83,1901,3845
84,1901,3070
85,1901,2750
86,1901,2165
87,1901,1504
88,1901,1010
89,1901,862
90,1901,1925
91,1901,0
92,1901,0
93,1901,0
94,1901,0
95,1901,0
96,1901,0
97,1901,0
98,1901,0
99,1901,0
100,1901,0
101,1901,0
102,1901,0
103,1901,0
104,1901,0
105,1901,0
106,1901,0
107,1901,0
108,1901,0
109,1901,0
0,1902,63500
1,1902,60627
2,1902,58381
3,1902,55669
4,1902,56326
5,1902,54859
6,1902,54915
7,1902,54901
8,1902,53575
9,1902,53110
10,1902,51753
11,1902,53008
12,1902,52077
13,1902,50630
14,1902,51824
15,1902,52275
16,1902,50678
17,1902,48795
18,1902,47908
19,1902,44916
20,1902,43781
21,1902,42136
22,1902,41695
23,1902,42309
24,1902,40001
25,1902,40455
26,1902,38028
27,1902,37504
28,1902,35709
29,1902,34981
30,1902,33677
31,1902,33950
32,1902,31674
33,1902,30759
34,1902,27972
35,1902,30907
36,1902,33490
37,1902,33109
38,1902,33566
39,1902,32877
40,1902,31892
41,1902,30030
42,1902,31945
43,1902,31982
44,1902,31230
45,1902,28571
46,1902,27243
47,1902,26943
48,1902,28606
49,1902,25907
50,1902,24166
51,1902,24977
52,1902,25209
53,1902,25832
54,1902,23940
55,1902,22278
56,1902,21390
57,1902,22719
58,1902,23345
59,1902,21894
60,1902,22100
61,1902,20506
62,1902,20839
63,1902,19061
64,1902,18058
65,1902,18124
66,1902,18592
67,1902,18609
68,1902,18161
69,1902,17312
70,1902,14947
71,1902,13582
72,1902,13921
73,1902,13501
74,1902,12287
75,1902,10562
76,1902,10943
77,1902,10268
78,1902,8865
79,1902,8485
80,1902,7179
81,1902,6032
82,1902,4892
83,1902,3954
84,1902,3253
85,1902,2510
86,1902,2224
87,1902,1742
88,1902,1206
89,1902,770
90,1902,2041
91,1902,0
92,1902,0
93,1902,0
94,1902,0
95,1902,0
96,1902,0
97,1902,0
98,1902,0
99,1902,0
100,1902,0
101,1902,0
102,1902,0
103,1902,0
104,1902,0
105,1902,0
106,1902,0
107,1902,0
108,1902,0
109,1902,0
0,1903,61677
1,1903,60575
2,1903,59357
3,1903,57650
4,1903,55083
5,1903,55831
6,1903,54446
7,1903,54539
8,1903,54559
9,1903,53310
10,1903,52834
11,1903,51483
12,1903,52717
13,1903,51814
14,1903,50258
15,1903,51255
16,1903,51425
17,1903,49652
18,1903,47665
19,1903,46722
20,1903,43898
21,1903,42733
22,1903,41252
23,1903,40873
24,1903,41468
25,1903,39291
26,1903,39785
27,1903,37457
28,1903,36988
29,1903,35298
30,1903,34569
31,1903,33327
32,1903,33570
33,1903,31374
34,1903,30460
35,1903,27743
36,1903,30644
37,1903,33178
38,1903,32835
39,1903,33281
40,1903,32572
41,1903,31634
42,1903,29762
43,1903,31686
44,1903,31706
45,1903,30958
46,1903,28325
47,1903,27001
48,1903,26720
49,1903,28341
50,1903,25653
51,1903,23908
52,1903,24697
53,1903,24909
54,1903,25522
55,1903,23646
56,1903,21969
57,1903,21090
58,1903,22370
59,1903,22951
60,1903,21552
61,1903,21668
62,1903,20122
63,1903,20404
64,1903,18666
65,1903,17648
66,1903,17668
67,1903,18055
68,1903,18011
69,1903,17578
70,1903,16691
71,1903,14338
72,1903,12947
73,1903,13244
74,1903,12761
75,1903,11476
76,1903,9826
77,1903,10092
78,1903,9363
79,1903,8045
80,1903,7642
81,1903,6380
82,1903,5308
83,1903,4205
84,1903,3345
85,1903,2723
86,1903,2067
87,1903,1811
88,1903,1401
89,1903,915
90,1903,2081
91,1903,0
92,1903,0
93,1903,0
94,1903,0
95,1903,0
96,1903,0
97,1903,0
98,1903,0
99,1903,0
100,1903,0
101,1903,0
102,1903,0
103,1903,0
104,1903,0
105,1903,0
106,1903,0
107,1903,0
108,1903,0
109,1903,0
0,1904,61884
1,1904,59281
2,1904,59575
3,1904,58721
4,1904,57164
5,1904,54723
6,1904,55518
7,1904,54165
8,1904,54258
9,1904,54303
10,1904,53064
11,1904,52562
12,1904,51253
13,1904,52457
14,1904,51495
15,1904,49769
16,1904,50551
17,1904,50591
18,1904,48712
19,1904,46787
20,1904,45958
21,1904,43183
22,1904,42076
23,1904,40670
24,1904,40314
25,1904,40974
26,1904,38874
27,1904,39409
28,1904,37100
29,1904,36678
30,1904,34992
31,1904,34293
32,1904,33053
33,1904,33325
34,1904,31140
35,1904,30228
36,1904,27552
37,1904,30401
38,1904,32915
39,1904,32596
40,1904,32986
41,1904,32333
42,1904,31396
43,1904,29526
44,1904,31428
45,1904,31438
46,1904,30711
47,1904,28085
48,1904,26745
49,1904,26470
50,1904,28059
51,1904,25408
52,1904,23663
53,1904,24432
54,1904,24612
55,1904,25236
56,1904,23341
57,1904,21683
58,1904,20792
59,1904,21968
60,1904,22554
61,1904,21155
62,1904,21243
63,1904,19663
64,1904,19926
65,1904,18215
66,1904,17155
67,1904,17137
68,1904,17471
69,1904,17370
70,1904,16878
71,1904,15950
72,1904,13625
73,1904,12268
74,1904,12454
75,1904,11942
76,1904,10639
77,1904,9050
78,1904,9185
79,1904,8455
80,1904,7184
81,1904,6718
82,1904,5533
83,1904,4560
84,1904,3492
85,1904,2717
86,1904,2237
87,1904,1617
88,1904,1422
89,1904,1060
90,1904,2126
91,1904,0
92,1904,0
93,1904,0
94,1904,0
95,1904,0
96,1904,0
97,1904,0
98,1904,0
99,1904,0
100,1904,0
101,1904,0
102,1904,0
103,1904,0
104,1904,0
105,1904,0
106,1904,0
107,1904,0
108,1904,0
109,1904,0
0,1905,62657
1,1905,59348
2,1905,58351
3,1905,58964
4,1905,58213
5,1905,56726
6,1905,54360
7,1905,55244
8,1905,53856
9,1905,53985
10,1905,54019
11,1905,52803
12,1905,52349
13,1905,51000
14,1905,52144
15,1905,50943
16,1905,49045
17,1905,49619
18,1905,49551
19,1905,47747
20,1905,45833
21,1905,45148
22,1905,42460
23,1905,41367
24,1905,40075
25,1905,39734
26,1905,40463
27,1905,38478
28,1905,38983
29,1905,36707
30,1905,36324
31,1905,34679
32,1905,34019
33,1905,32782
34,1905,33055
35,1905,30858
36,1905,29975
37,1905,27323
38,1905,30155
39,1905,32663
40,1905,32314
41,1905,32732
42,1905,32027
43,1905,31122
44,1905,29268
45,1905,31153
46,1905,31151
47,1905,30436
48,1905,27852
49,1905,26486
50,1905,26242
51,1905,27786
52,1905,25127
53,1905,23398
54,1905,24138
55,1905,24273
56,1905,24872
57,1905,22995
58,1905,21365
59,1905,20451
60,1905,21585
61,1905,22131
62,1905,20754
63,1905,20757
64,1905,19191
65,1905,19409
66,1905,17734
67,1905,16625
68,1905,16560
69,1905,16857
70,1905,16690
71,1905,16122
72,1905,15148
73,1905,12929
74,1905,11536
75,1905,11648
76,1905,11030
77,1905,9789
78,1905,8285
79,1905,8295
80,1905,7606
81,1905,6335
82,1905,5916
83,1905,4741
84,1905,3852
85,1905,2902
86,1905,2228
87,1905,1781
88,1905,1266
89,1905,1108
90,1905,2318
91,1905,0
92,1905,0
93,1905,0
94,1905,0
95,1905,0
96,1905,0
97,1905,0
98,1905,0
99,1905,0
100,1905,0
101,1905,0
102,1905,0
103,1905,0
104,1905,0
105,1905,0
106,1905,0
107,1905,0
108,1905,0
109,1905,0
0,1906,62906
1,1906,60448
2,1906,58525
3,1906,57821
4,1906,58557
5,1906,57835
6,1906,56454
7,1906,54132
8,1906,55018
9,1906,53663
10,1906,53777
11,1906,53808
12,1906,52574
13,1906,52108
14,1906,50743
15,1906,51728
16,1906,50232
17,1906,48233
18,1906,48703
19,1906,48603
20,1906,46912
21,1906,45083
22,1906,44414
23,1906,41909
24,1906,40882
25,1906,39656
26,1906,39332
27,1906,40076
28,1906,38149
29,1906,38625
30,1906,36398
31,1906,36004
32,1906,34436
33,1906,33757
34,1906,32519
35,1906,32830
36,1906,30652
37,1906,29730
38,1906,27122
39,1906,29934
40,1906,32441
41,1906,32087
42,1906,32474
43,1906,31789
44,1906,30896
45,1906,29067
46,1906,30915
47,1906,30933
48,1906,30156
49,1906,27595
50,1906,26224
51,1906,26000
52,1906,27514
53,1906,24841
54,1906,23145
55,1906,23846
56,1906,23965
57,1906,24548
58,1906,22695
59,1906,21039
60,1906,20131
61,1906,21240
62,1906,21708
63,1906,20303
64,1906,20300
65,1906,18739
66,1906,18916
67,1906,17249
68,1906,16106
69,1906,16026
70,1906,16246
71,1906,16020
72,1906,15427
73,1906,14376
74,1906,12235
75,1906,10858
76,1906,10909
77,1906,10229
78,1906,8989
79,1906,7580
80,1906,7500
81,1906,6756
82,1906,5576
83,1906,5190
84,1906,4091
85,1906,3202
86,1906,2435
87,1906,1795
88,1906,1445
89,1906,993
90,1906,2503
91,1906,0
92,1906,0
93,1906,0
94,1906,0
95,1906,0
96,1906,0
97,1906,0
98,1906,0
99,1906,0
100,1906,0
101,1906,0
102,1906,0
103,1906,0
104,1906,0
105,1906,0
106,1906,0
107,1906,0
108,1906,0
109,1906,0
0,1907,63236
1,1907,60681
2,1907,59626
3,1907,58067
4,1907,57469
5,1907,58229
6,1907,57559
7,1907,56217
8,1907,53931
9,1907,54787
10,1907,53475
11,1907,53571
12,1907,53618
13,1907,52383
14,1907,51865
15,1907,50286
16,1907,51055
17,1907,49404
18,1907,47391
19,1907,47814
20,1907,47742
21,1907,46138
22,1907,44404
23,1907,43788
24,1907,41401
25,1907,40443
26,1907,39211
27,1907,38963
28,1907,39705
29,1907,37806
30,1907,38288
31,1907,36084
32,1907,35718
33,1907,34219
34,1907,33502
35,1907,32253
36,1907,32594
37,1907,30431
38,1907,29520
39,1907,26935
40,1907,29732
41,1907,32190
42,1907,31843
43,1907,32209
44,1907,31531
45,1907,30646
46,1907,28820
47,1907,30628
48,1907,30647
49,1907,29843
50,1907,27351
51,1907,25968
52,1907,25724
53,1907,27244
54,1907,24563
55,1907,22865
56,1907,23559
57,1907,23630
58,1907,24198
59,1907,22356
60,1907,20703
61,1907,19755
62,1907,20857
63,1907,21273
64,1907,19853
65,1907,19833
66,1907,18247
67,1907,18389
68,1907,16685
69,1907,15576
70,1907,15392
71,1907,15549
72,1907,15249
73,1907,14645
74,1907,13560
75,1907,11433
76,1907,10082
77,1907,10061
78,1907,9310
79,1907,8135
80,1907,6757
81,1907,6611
82,1907,5834
83,1907,4786
84,1907,4401
85,1907,3369
86,1907,2624
87,1907,1946
88,1907,1438
89,1907,1113
90,1907,2435
91,1907,0
92,1907,0
93,1907,0
94,1907,0
95,1907,0
96,1907,0
97,1907,0
98,1907,0
99,1907,0
100,1907,0
101,1907,0
102,1907,0
103,1907,0
104,1907,0
105,1907,0
106,1907,0
107,1907,0
108,1907,0
109,1907,0
0,1908,63833
1,1908,60869
2,1908,59880
3,1908,59217
4,1908,57746
5,1908,57221
6,1908,58026
7,1908,57344
8,1908,56047
9,1908,53762
10,1908,54617
11,1908,53327
12,1908,53424
13,1908,53432
14,1908,52194
15,1908,51535
16,1908,49823
17,1908,50489
18,1908,48804
19,1908,46783
20,1908,47246
21,1908,47261
22,1908,45648
23,1908,43985
24,1908,43378
25,1908,41072
26,1908,40141
27,1908,38940
28,1908,38736
29,1908,39446
30,1908,37601
31,1908,38009
32,1908,35920
33,1908,35493
34,1908,34029
35,1908,33304
36,1908,32008
37,1908,32378
38,1908,30215
39,1908,29302
40,1908,26777
41,1908,29491
42,1908,31943
43,1908,31559
44,1908,31990
45,1908,31311
46,1908,30399
47,1908,28608
48,1908,30353
49,1908,30422
50,1908,29537
51,1908,27069
52,1908,25701
53,1908,25456
54,1908,26907
55,1908,24274
56,1908,22586
57,1908,23256
58,1908,23310
59,1908,23823
60,1908,22002
61,1908,20384
62,1908,19395
63,1908,20439
64,1908,20799
65,1908,19328
66,1908,19301
67,1908,17712
68,1908,17829
69,1908,16055
70,1908,14988
71,1908,14749
72,1908,14814
73,1908,14496
74,1908,13771
75,1908,12641
76,1908,10576
77,1908,9271
78,1908,9205
79,1908,8331
80,1908,7256
81,1908,5908
82,1908,5751
83,1908,5008
84,1908,4035
85,1908,3632
86,1908,2704
87,1908,2086
88,1908,1523
89,1908,1086
90,1908,2502
91,1908,0
92,1908,0
93,1908,0
94,1908,0
95,1908,0
96,1908,0
97,1908,0
98,1908,0
99,1908,0
100,1908,0
101,1908,0
102,1908,0
103,1908,0
104,1908,0
105,1908,0
106,1908,0
107,1908,0
108,1908,0
109,1908,0
0,1909,64645
1,1909,61776
2,1909,60178
3,1909,59446
4,1909,58879
5,1909,57477
6,1909,56994
7,1909,57824
8,1909,57164
9,1909,55875
10,1909,53574
11,1909,54447
12,1909,53179
13,1909,53247
14,1909,53217
15,1909,51849
16,1909,50996
17,1909,49174
18,1909,49716
19,1909,48066
20,1909,46143
21,1909,46602
22,1909,46627
23,1909,45160
24,1909,43520
25,1909,42977
26,1909,40702
27,1909,39775
28,1909,38602
29,1909,38430
30,1909,39117
31,1909,37304
32,1909,37757
33,1909,35653
34,1909,35214
35,1909,33775
36,1909,33049
37,1909,31775
38,1909,32146
39,1909,29994
40,1909,29072
41,1909,26628
42,1909,29270
43,1909,31686
44,1909,31293
45,1909,31761
46,1909,31063
47,1909,30174
48,1909,28371
49,1909,30104
50,1909,30156
51,1909,29256
52,1909,26800
53,1909,25467
54,1909,25158
55,1909,26607
56,1909,23984
57,1909,22290
58,1909,22926
59,1909,22964
60,1909,23484
61,1909,21603
62,1909,20012
63,1909,19010
64,1909,19991
65,1909,20292
66,1909,18804
67,1909,18773
68,1909,17167
69,1909,17239
70,1909,15460
71,1909,14304
72,1909,14064
73,1909,14054
74,1909,13707
75,1909,12934
76,1909,11816
77,1909,9786
78,1909,8516
79,1909,8394
80,1909,7454
81,1909,6435
82,1909,5247
83,1909,4961
84,1909,4288
85,1909,3401
86,1909,3017
87,1909,2155
88,1909,1634
89,1909,1173
90,1909,2628
91,1909,0
92,1909,0
93,1909,0
94,1909,0
95,1909,0
96,1909,0
97,1909,0
98,1909,0
99,1909,0
100,1909,0
101,1909,0
102,1909,0
103,1909,0
104,1909,0
105,1909,0
106,1909,0
107,1909,0
108,1909,0
109,1909,0
0,1910,61617
1,1910,62218
2,1910,60762
3,1910,59604
4,1910,58840
5,1910,58400
6,1910,57052
7,1910,56511
8,1910,57553
9,1910,56723
10,1910,56431
11,1910,53529
12,1910,54386
13,1910,53087
14,1910,53128
15,1910,52992
16,1910,51342
17,1910,50332
18,1910,48424
19,1910,48922
20,1910,47390
21,1910,45660
22,1910,46129
23,1910,46302
24,1910,44714
25,1910,43381
26,1910,42855
27,1910,40637
28,1910,39659
29,1910,38701
30,1910,38493
31,1910,39207
32,1910,37268
33,1910,37530
34,1910,35681
35,1910,35089
36,1910,33677
37,1910,32868
38,1910,31665
39,1910,32059
40,1910,29830
41,1910,28942
42,1910,26526
43,1910,29149
44,1910,31582
45,1910,31153
46,1910,31621
47,1910,30835
48,1910,29943
49,1910,28142
50,1910,29837
51,1910,29903
52,1910,28984
53,1910,26535
54,1910,25225
55,1910,24839
56,1910,26281
57,1910,23655
58,1910,21987
59,1910,22585
60,1910,22549
61,1910,23048
62,1910,21201
63,1910,19574
64,1910,18617
65,1910,19495
66,1910,19741
67,1910,18276
68,1910,18199
69,1910,16549
70,1910,16580
71,1910,14822
72,1910,13617
73,1910,13325
74,1910,13323
75,1910,12887
76,1910,12074
77,1910,10974
78,1910,9032
79,1910,7787
80,1910,7608
81,1910,6691
82,1910,5672
83,1910,4541
84,1910,4292
85,1910,3689
86,1910,2795
87,1910,2485
88,1910,1798
89,1910,1297
90,1910,895
91,1910,642
92,1910,433
93,1910,287
94,1910,217
95,1910,123
96,1910,63
97,1910,37
98,1910,29
99,1910,19
100,1910,19
101,1910,0
102,1910,0
103,1910,0
104,1910,0
105,1910,0
106,1910,0
107,1910,0
108,1910,0
109,1910,0
0,1911,61728
1,1911,59612
2,1911,61411
3,1911,60244
4,1911,59227
5,1911,58511
6,1911,58108
7,1911,56782
8,1911,56280
9,1911,57305
10,1911,56498
11,1911,56244
12,1911,53339
13,1911,54170
14,1911,52864
15,1911,52811
16,1911,52470
17,1911,50699
18,1911,49627
19,1911,47672
20,1911,48241
21,1911,46744
22,1911,45103
23,1911,45587
24,1911,45805
25,1911,44273
26,1911,42872
27,1911,42465
28,1911,40263
29,1911,39367
30,1911,38397
31,1911,38153
32,1911,38904
33,1911,37000
34,1911,37254
35,1911,35398
36,1911,34838
37,1911,33444
38,1911,32589
39,1911,31418
40,1911,31830
41,1911,29586
42,1911,28706
43,1911,26327
44,1911,28901
45,1911,31309
46,1911,30925
47,1911,31371
48,1911,30589
49,1911,29676
50,1911,27896
51,1911,29558
52,1911,29613
53,1911,28657
54,1911,26246
55,1911,24913
56,1911,24549
57,1911,25933
58,1911,23333
59,1911,21641
60,1911,22234
61,1911,22173
62,1911,22625
63,1911,20769
64,1911,19153
65,1911,18142
66,1911,19002
67,1911,19224
68,1911,17717
69,1911,17571
70,1911,15953
71,1911,15916
72,1911,14169
73,1911,12949
74,1911,12588
75,1911,12567
76,1911,12013
77,1911,11151
78,1911,10074
79,1911,8216
80,1911,6994
81,1911,6765
82,1911,5920
83,1911,4883
84,1911,3874
85,1911,3625
86,1911,3030
87,1911,2265
88,1911,1985
89,1911,1402
90,1911,1018
91,1911,639
92,1911,446
93,1911,296
94,1911,204
95,1911,333
96,1911,0
97,1911,0
98,1911,0
99,1911,0
100,1911,0
101,1911,0
102,1911,0
103,1911,0
104,1911,0
105,1911,0
106,1911,0
107,1911,0
108,1911,0
109,1911,0
0,1912,61860
1,1912,59805
2,1912,58892
3,1912,60967
4,1912,59879
5,1912,58910
6,1912,58264
7,1912,57871
8,1912,56590
9,1912,56087
10,1912,57135
11,1912,56326
12,1912,56057
13,1912,53153
14,1912,53966
15,1912,52539
16,1912,52291
17,1912,51863
18,1912,49982
19,1912,48958
20,1912,47028
21,1912,47641
22,1912,46225
23,1912,44628
24,1912,45142
25,1912,45350
26,1912,43927
27,1912,42533
28,1912,42157
29,1912,40005
30,1912,39048
31,1912,38151
32,1912,37930
33,1912,38690
34,1912,36764
35,1912,37025
36,1912,35157
37,1912,34618
38,1912,33232
39,1912,32377
40,1912,31206
41,1912,31582
42,1912,29415
43,1912,28502
44,1912,26134
45,1912,28691
46,1912,31078
47,1912,30696
48,1912,31124
49,1912,30335
50,1912,29414
51,1912,27659
52,1912,29298
53,1912,29309
54,1912,28350
55,1912,25934
56,1912,24574
57,1912,24247
58,1912,25591
59,1912,22977
60,1912,21323
61,1912,21856
62,1912,21748
63,1912,22140
64,1912,20332
65,1912,18666
66,1912,17660
67,1912,18459
68,1912,18610
69,1912,17111
70,1912,16894
71,1912,15248
72,1912,15179
73,1912,13422
74,1912,12188
75,1912,11808
76,1912,11646
77,1912,11093
78,1912,10190
79,1912,9105
80,1912,7340
81,1912,6140
82,1912,5899
83,1912,5057
84,1912,4131
85,1912,3241
86,1912,2977
87,1912,2468
88,1912,1764
89,1912,1515
90,1912,1051
91,1912,741
92,1912,473
93,1912,312
94,1912,200
95,1912,329
96,1912,0
97,1912,0
98,1912,0
99,1912,0
100,1912,0
101,1912,0
102,1912,0
103,1912,0
104,1912,0
105,1912,0
106,1912,0
107,1912,0
108,1912,0
109,1912,0
0,1913,60414
1,1913,60085
2,1913,59174
3,1913,58432
4,1913,60629
5,1913,59577
6,1913,58642
7,1913,58034
8,1913,57648
9,1913,56394
10,1913,55923
11,1913,56981
12,1913,56146
13,1913,55841
14,1913,52969
15,1913,53675
16,1913,52087
17,1913,51596
18,1913,51136
19,1913,49225
20,1913,48234
21,1913,46396
22,1913,46989
23,1913,45694
24,1913,44178
25,1913,44615
26,1913,44884
27,1913,43515
28,1913,42177
29,1913,41793
30,1913,39698
31,1913,38731
32,1913,37842
33,1913,37643
34,1913,38388
35,1913,36499
36,1913,36752
37,1913,34893
38,1913,34384
39,1913,33033
40,1913,32161
41,1913,30972
42,1913,31336
43,1913,29195
44,1913,28316
45,1913,25920
46,1913,28476
47,1913,30842
48,1913,30438
49,1913,30864
50,1913,30038
51,1913,29122
52,1913,27380
53,1913,28981
54,1913,29012
55,1913,28036
56,1913,25627
57,1913,24282
58,1913,23936
59,1913,25225
60,1913,22606
61,1913,20972
62,1913,21452
63,1913,21334
64,1913,21650
65,1913,19814
66,1913,18203
67,1913,17125
68,1913,17891
69,1913,17976
70,1913,16466
71,1913,16164
72,1913,14548
73,1913,14399
74,1913,12661
75,1913,11446
76,1913,11026
77,1913,10791
78,1913,10160
79,1913,9252
80,1913,8126
81,1913,6538
82,1913,5412
83,1913,5085
84,1913,4273
85,1913,3472
86,1913,2660
87,1913,2376
88,1913,1927
89,1913,1366
90,1913,1128
91,1913,802
92,1913,532
93,1913,336
94,1913,207
95,1913,356
96,1913,0
97,1913,0
98,1913,0
99,1913,0
100,1913,0
101,1913,0
102,1913,0
103,1913,0
104,1913,0
105,1913,0
106,1913,0
107,1913,0
108,1913,0
109,1913,0
0,1914,60086
1,1914,58715
2,1914,59471
3,1914,58818
4,1914,58105
5,1914,60351
6,1914,59382
7,1914,58449
8,1914,57868
9,1914,57500
10,1914,56231
11,1914,55776
12,1914,56839
13,1914,55973
14,1914,55647
15,1914,52723
16,1914,53289
17,1914,51588
18,1914,51070
19,1914,50602
20,1914,48712
21,1914,47775
22,1914,45970
23,1914,46594
24,1914,45317
25,1914,43849
26,1914,44298
27,1914,44570
28,1914,43181
29,1914,41877
30,1914,41499
31,1914,39400
32,1914,38451
33,1914,37594
34,1914,37405
35,1914,38125
36,1914,36288
37,1914,36486
38,1914,34653
39,1914,34156
40,1914,32823
41,1914,31938
42,1914,30751
43,1914,31087
44,1914,28972
45,1914,28105
46,1914,25737
47,1914,28270
48,1914,30581
49,1914,30204
50,1914,30624
51,1914,29770
52,1914,28868
53,1914,27091
54,1914,28663
55,1914,28664
56,1914,27736
57,1914,25325
58,1914,23996
59,1914,23605
60,1914,24838
61,1914,22238
62,1914,20567
63,1914,21025
64,1914,20918
65,1914,21133
66,1914,19296
67,1914,17664
68,1914,16541
69,1914,17270
70,1914,17336
71,1914,15778
72,1914,15421
73,1914,13828
74,1914,13624
75,1914,11881
76,1914,10646
77,1914,10163
78,1914,9901
79,1914,9198
80,1914,8249
81,1914,7163
82,1914,5727
83,1914,4668
84,1914,4316
85,1914,3545
86,1914,2810
87,1914,2152
88,1914,1871
89,1914,1493
90,1914,1044
91,1914,825
92,1914,600
93,1914,375
94,1914,202
95,1914,361
96,1914,0
97,1914,0
98,1914,0
99,1914,0
100,1914,0
101,1914,0
102,1914,0
103,1914,0
104,1914,0
105,1914,0
106,1914,0
107,1914,0
108,1914,0
109,1914,0
0,1915,57198
1,1915,58167
2,1915,58098
3,1915,59058
4,1915,58481
5,1915,57823
6,1915,60155
7,1915,59197
8,1915,58290
9,1915,57697
10,1915,57358
11,1915,56089
12,1915,55612
13,1915,56660
14,1915,55761
15,1915,55424
16,1915,52396
17,1915,52895
18,1915,51261
19,1915,50661
20,1915,50165
21,1915,48309
22,1915,47448
23,1915,45609
24,1915,46271
25,1915,44945
26,1915,43567
27,1915,43970
28,1915,44202
29,1915,42916
30,1915,41602
31,1915,41200
32,1915,39171
33,1915,38173
34,1915,37359
35,1915,37176
36,1915,37867
37,1915,36045
38,1915,36229
39,1915,34421
40,1915,33906
41,1915,32574
42,1915,31684
43,1915,30491
44,1915,30852
45,1915,28776
46,1915,27877
47,1915,25503
48,1915,28042
49,1915,30313
50,1915,29939
51,1915,30322
52,1915,29504
53,1915,28572
54,1915,26834
55,1915,28358
56,1915,28322
57,1915,27378
58,1915,24970
59,1915,23640
60,1915,23211
61,1915,24413
62,1915,21815
63,1915,20167
64,1915,20554
65,1915,20423
66,1915,20582
67,1915,18721
68,1915,17083
69,1915,15908
70,1915,16514
71,1915,16495
72,1915,15029
73,1915,14606
74,1915,12975
75,1915,12729
76,1915,10990
77,1915,9720
78,1915,9231
79,1915,8872
80,1915,8195
81,1915,7163
82,1915,6142
83,1915,4938
84,1915,3909
85,1915,3541
86,1915,2855
87,1915,2183
88,1915,1637
89,1915,1415
90,1915,1070
91,1915,747
92,1915,578
93,1915,410
94,1915,259
95,1915,325
96,1915,0
97,1915,0
98,1915,0
99,1915,0
100,1915,0
101,1915,0
102,1915,0
103,1915,0
104,1915,0
105,1915,0
106,1915,0
107,1915,0
108,1915,0
109,1915,0
0,1916,56606
1,1916,55577
2,1916,57587
3,1916,57791
4,1916,58835
5,1916,58282
6,1916,57669
7,1916,60046
8,1916,59063
9,1916,58165
10,1916,57591
11,1916,57234
12,1916,56008
13,1916,55498
14,1916,56504
15,1916,55521
16,1916,55134
17,1916,51970
18,1916,52411
19,1916,50812
20,1916,50244
21,1916,49723
22,1916,47938
23,1916,47171
24,1916,45356
25,1916,46000
26,1916,44673
27,1916,43344
28,1916,43769
29,1916,43935
30,1916,42676
31,1916,41385
32,1916,41010
33,1916,38997
34,1916,38008
35,1916,37183
36,1916,36988
