Age,Year,Population
28,1863,32421
29,1863,32617
30,1863,32192
31,1863,28856
32,1863,26775
33,1863,28963
34,1863,30124
35,1863,28621
36,1863,26167
37,1863,29214
38,1863,30011
39,1863,28222
40,1863,29153
41,1863,27842
42,1863,26280
43,1863,24037
44,1863,22935
45,1863,23208
46,1863,22210
47,1863,23023
48,1863,22056
49,1863,19442
50,1863,16787
51,1863,19403
52,1863,19522
53,1863,17889
54,1863,14154
55,1863,14551
56,1863,15430
57,1863,14649
58,1863,14825
59,1863,14586
60,1863,13888
61,1863,14198
62,1863,12143
63,1863,11017
64,1863,12098
65,1863,12066
66,1863,11715
67,1863,11492
68,1863,9893
69,1863,10251
70,1863,9073
71,1863,9071
72,1863,7554
73,1863,6560
74,1863,5909
75,1863,5516
76,1863,4339
77,1863,4362
78,1863,3553
79,1863,3120
80,1863,2369
81,1863,2227
82,1863,1858
83,1863,1830
84,1863,1237
85,1863,1031
86,1863,739
87,1863,553
88,1863,439
89,1863,365
90,1863,571
91,1863,287
92,1863,0
93,1863,0
94,1863,0
95,1863,0
96,1863,0
97,1863,0
98,1863,0
99,1863,0
100,1863,0
101,1863,0
102,1863,0
103,1863,0
104,1863,0
105,1863,0
106,1863,0
107,1863,0
108,1863,0
109,1863,0
0,1864,60100
1,1864,55823
2,1864,52641
3,1864,48774
4,1864,50369
5,1864,49372
6,1864,48114
7,1864,43251
8,1864,41038
9,1864,40481
10,1864,43168
11,1864,39149
12,1864,36444
13,1864,38072
14,1864,38341
15,1864,39652
16,1864,36470
17,1864,34367
18,1864,33407
19,1864,35394
20,1864,36612
21,1864,34096
22,1864,34783
23,1864,32560
24,1864,33425
25,1864,30654
26,1864,29380
27,1864,30098
28,1864,31299
29,1864,32176
30,1864,32355
31,1864,31934
32,1864,28620
33,1864,26544
34,1864,28718
35,1864,29862
36,1864,28362
37,1864,25922
38,1864,28949
39,1864,29728
40,1864,27940
41,1864,28872
42,1864,27568
43,1864,26021
44,1864,23808
45,1864,22696
46,1864,22958
47,1864,21966
48,1864,22754
49,1864,21782
50,1864,19185
51,1864,16539
52,1864,19131
53,1864,19235
54,1864,17616
55,1864,13889
56,1864,14283
57,1864,15139
58,1864,14320
59,1864,14478
60,1864,14224
61,1864,13500
62,1864,13794
63,1864,11729
64,1864,10584
65,1864,11639
66,1864,11570
67,1864,11167
68,1864,10946
69,1864,9363
70,1864,9683
71,1864,8467
72,1864,8437
73,1864,6976
74,1864,6044
75,1864,5370
76,1864,4981
77,1864,3820
78,1864,3856
79,1864,3074
80,1864,2660
81,1864,1978
82,1864,1892
83,1864,1507
84,1864,1503
85,1864,943
86,1864,784
87,1864,537
88,1864,394
89,1864,305
90,1864,673
91,1864,287
92,1864,0
93,1864,0
94,1864,0
95,1864,0
96,1864,0
97,1864,0
98,1864,0
99,1864,0
100,1864,0
101,1864,0
